session_pitch,fp_mer_duration_s,fp_mer_positive_energy_j,fp_mer_net_energy_j,fp_mer_positive_mean_power_w,fp_mer_negative_energy_j,fp_br_duration_s,fp_br_positive_energy_j,fp_br_net_energy_j,fp_br_positive_mean_power_w,fp_br_negative_energy_j,mer_share_of_fp_br,official_fp_br_j,session,session_mass_kg
1808_5,0.07219999999999982,248.4226415549996,248.4226415549996,3440.7568082410003,0.0,0.10559999999999992,255.04593655499974,235.7032029349997,2415.2077325284085,19.342733620000047,0.9740309722653752,255.0459,1808,98.4312
1826_1,0.11660000000000004,352.3774200350002,352.3774200350002,3022.1048030445977,0.0,0.1472,374.1553483,360.8796397599999,2541.8162248641306,13.275708540000096,0.9417944221191832,374.1553,1826,91.1736
1826_2,0.1028,348.7198820849999,348.7198820849999,3392.2167517996095,0.0,0.1361000000000001,368.9357686450001,349.4931860200001,2710.7697916605425,19.442582625,0.9452048614471629,368.9358,1826,91.1736
1826_3,0.11109999999999998,358.8715366250001,358.8715366250001,3230.1668463096325,0.0,0.14439999999999986,387.3563446449999,377.866908455,2682.5231623614977,9.489436189999935,0.9264635563253643,387.3563,1826,91.1736
1826_4,0.11389999999999989,368.14521240499977,368.14521240499977,3232.179213388939,0.0,0.1472,397.004404195,386.4313555499999,2697.040789368207,10.573048645000085,0.9273076281143087,397.0044,1826,91.1736
1826_5,0.10830000000000006,368.4391861600002,368.4391861600002,3402.0238795937207,0.0,0.14169999999999994,391.23773788999995,376.45278376,2761.0284960479894,14.78495412999996,0.9417271149430636,391.2377,1826,91.1736
1830_1,0.11660000000000004,284.41416405499996,284.41416405499996,2439.2295373499132,0.0,0.15000000000000013,291.29912297500005,245.80662704999997,1941.9941531666652,45.49249592500007,0.976364642468934,291.2991,1830,84.3696
1830_2,0.11670000000000003,282.44666740000025,282.44666740000025,2420.279926306771,0.0,0.1499999999999999,289.554491685,244.66134051999998,1930.3632779000013,44.893151165000035,0.9754525504210371,289.5545,1830,84.3696
1830_3,0.11390000000000011,280.9087898600001,280.9087898600001,2466.27559139596,0.0,0.1472,287.14246254000005,243.0432258900002,1950.6960770380438,44.09923664999985,0.97829066232539,287.1425,1830,84.3696
1830_4,0.10840000000000005,285.84961245000005,285.84961245000005,2636.9890447416965,0.0,0.14169999999999994,293.57957962499995,248.11099370999992,2071.8389528934376,45.468585915000034,0.9736699426272302,293.5796,1830,84.3696
1830_5,0.11390000000000011,281.6484786350001,281.6484786350001,2472.769786084283,0.0,0.15000000000000013,290.13409730500007,244.63102464,1934.2273153666654,45.503072665000076,0.9707527700162745,290.1341,1830,84.3696
1845_1,0.09440000000000004,286.24058692,286.24058692,3032.2096072033887,0.0,0.13050000000000006,315.993397445,286.63379204000006,2421.405344406129,29.359605404999968,0.9058435689936255,315.9934,1845,92.5344
1845_2,0.09719999999999995,281.3713833399999,281.3713833399999,2894.7673183127577,0.0,0.13879999999999992,322.02803682,289.97943219,2320.0867206051885,32.04860463,0.8737480938570407,322.028,1845,92.5344
1845_3,0.09999999999999998,295.5133703049997,295.5133703049997,2955.1337030499976,0.0,0.13890000000000013,330.72414517999994,306.86913367999995,2381.023363426923,23.85501149999999,0.8935343083105214,330.7241,1845,92.5344
