session_pitch,fp_mer_duration_s,positive_total_j,gated_stp_j,gated_jfp_j,conservation_error_j,stp_positive_j,stp_negative_j,jfp_positive_j,jfp_negative_j,mean_force_n,mean_shoulder_jc_speed_m_s,mean_force_velocity_alignment,official_jfp_vs_force_velocity_r,official_jfp_force_velocity_mae_w,thorax_limited_fraction,arm_limited_fraction,max_torso_rotational_velo,max_rotation_hip_shoulder_separation,rotation_hip_shoulder_separation_fp,session,session_mass_kg
2818_5,0.09450000000000003,334.31251637000014,156.42046122000005,177.89205515000003,5.684341886080802e-14,156.42046122000005,0.0,177.89205515000003,0.0,672.6223116927257,4.165793510534611,-0.6476460437623888,-0.6026548507587808,3796.4625208779644,0.5142857142857142,0.4857142857142857,959.0355,33.3839,28.2788,2818,96.1632
2833_1,0.13329999999999997,326.6610976449999,158.85440065499995,167.80669698999998,0.0,158.85440065499995,0.0,168.54672629999996,-0.7400293099999861,511.69007805600216,4.75186925939191,-0.3709094420949649,-0.7046197056848978,2690.543767143227,0.3877551020408163,0.6122448979591837,1108.9652,34.1953,34.157,2833,83.916
2833_2,0.125,326.0152268650001,159.8321355850001,166.18309128,0.0,159.8321355850001,0.0,166.77974698500003,-0.596655705000019,528.4786400538476,4.846068015160041,-0.4066338494582254,-0.6758051749526574,2796.0351026418675,0.2826086956521739,0.717391304347826,1134.2527,35.307,34.4859,2833,83.916
2833_3,0.13060000000000005,338.08091630000007,161.99538050500007,176.08553579499997,2.842170943040401e-14,161.99538050500007,0.0,176.726853815,-0.6413180200000301,540.9254089397508,4.760164562100757,-0.3723425912470686,-0.6761193525695516,2829.007263225432,0.3958333333333333,0.6041666666666666,1122.9154,36.7383,36.4555,2833,83.916
2833_4,0.12219999999999986,332.26653782499994,155.23463666499995,177.03190116000005,-5.684341886080802e-14,155.23463666499995,0.0,177.24180148000005,-0.20990031999999353,554.2776773553613,4.940091951938208,-0.40283431171175316,-0.6944508135057775,3023.1314808127313,0.37777777777777777,0.6222222222222222,1127.1505,34.2301,33.1795,2833,83.916
2833_5,0.11660000000000004,332.124779845,159.97162151999996,172.153158325,2.842170943040401e-14,159.97162151999996,0.0,174.267372855,-2.1142145300000035,590.9061610131918,4.8277973786723285,-0.4286904348505084,-0.6850313976501136,3270.6379986072816,0.3488372093023256,0.6511627906976745,1179.3539,36.9466,35.079,2833,83.916
2840_1,0.09450000000000003,260.5395296300001,128.50784851999998,132.03168111000014,0.0,128.50784851999998,0.0,132.8853180900001,-0.8536369799999737,526.8020316456852,4.7555478997848715,-0.31742298202291125,0.8611653446013448,2246.1517555228825,0.45714285714285713,0.5428571428571428,1069.6692,23.3714,22.4396,2840,84.8232
2840_2,0.10000000000000009,277.6557121050001,135.07962151000012,142.57609059499998,-2.842170943040401e-14,135.07962151000012,0.0,143.07165766,-0.4955670650000215,524.0872659438631,4.788561388067431,-0.33134977823902645,0.7266744113136624,2350.6898576571693,0.5405405405405406,0.4594594594594595,1080.0811,22.9778,22.4431,2840,84.8232
2840_4,0.08889999999999998,253.92539224999993,120.90253639499994,133.02285585500002,-2.842170943040401e-14,120.90253639499994,0.0,133.362503415,-0.3396475599999895,508.25411672314203,4.941225169409718,-0.3922801883103031,0.8781872561731972,2506.6626524892863,0.42424242424242425,0.5757575757575758,1093.1308,21.8871,19.4365,2840,84.8232
2840_5,0.09439999999999982,260.74689731999973,128.1618680399998,132.58502927999993,0.0,128.1618680399998,0.0,133.39047147999992,-0.805442199999977,521.3454457898807,4.946447384135101,-0.3837561554906636,0.8626246299606726,2453.095105766957,0.45714285714285713,0.5428571428571428,1070.8621,21.0008,20.5816,2840,84.8232
